Rl/Lg,Exp (T*),CHT (T*)
0.0125,0.956690267,0.958057395
0.025,0.942788718,0.958057395
0.0375,0.939615606,0.958057395
0.05,0.938269481,0.960264901
0.0625,0.938343516,0.960264901
0.075,0.937936841,0.960264901
0.1375,0.936266643,0.964679912
0.2,0.936788206,0.966887417
0.2625,0.937554348,0.969094923
0.325,0.939090615,0.969094923
0.3875,0.940430712,0.969094923
0.45,0.941265565,0.969094923
0.5125,0.943866632,0.966887417
0.575,0.945320031,0.966887417
0.6375,0.946857083,0.964679912
0.7,0.947860178,0.962472406
0.7625,0.948914042,0.960264901
0.825,0.949755851,0.95584989
0.8875,0.94952243,0.951434879
