Rl/Lg,Exp (T*),CHT (T*)
0.0125,0.962273549,0.95584989
0.025,0.957985149,0.947019868
0.0375,0.956985343,0.942604857
0.05,0.955861204,0.942604857
0.0625,0.956371929,0.940397351
0.075,0.956397099,0.940397351
0.1375,0.957394332,0.944812362
0.2,0.957563945,0.944812362
0.2625,0.958996145,0.947019868
0.325,0.960627909,0.949227373
0.3875,0.961621351,0.949227373
0.45,0.962676407,0.951434879
0.5125,0.963969377,0.951434879
0.575,0.964301735,0.953642384
0.6375,0.965027521,0.953642384
0.7,0.964949236,0.953642384
0.7625,0.964703999,0.953642384
0.825,0.963286149,0.951434879
0.8875,0.961009639,0.951434879
