Rl/Lg,Exp (T*),CHT (T*)
0.0125,0.958454497,0.951434879
0.025,0.945754573,0.944812362
0.0375,0.942195172,0.942604857
0.05,0.94148564,0.940397351
0.0625,0.941605927,0.940397351
0.075,0.941444713,0.938189845
0.1375,0.942216784,0.938189845
0.2,0.944397181,0.938189845
0.2625,0.945933443,0.938189845
0.325,0.946790399,0.940397351
0.3875,0.94775787,0.940397351
0.45,0.949486851,0.942604857
0.5125,0.950255092,0.944812362
0.575,0.950715272,0.944812362
0.6375,0.951666103,0.947019868
0.7,0.951900106,0.947019868
0.7625,0.951881323,0.947019868
0.825,0.951323323,0.947019868
0.8875,0.949288867,0.944812362
